Bangla,English
আমি,I
না,Not
তুমি,You
আমার,Me
কি,What
এটা,It
আর,More
তোমার,Yours
আছে,There is
সে,He
এই,This
আমরা,We
করে,By
হবে,Will
জন্য,For
আমাদের,Ours
করতে,To do
একটা,One
আমাকে,Me
ঠিক,Right
আপনি,You
তো,There
যে,That
তার,Herself
থেকে,From
কিছু,Something
সাথে,With
কিন্তু,But
এখানে,Here
তোমাকে,You
এখন,Now
কোন,Any
কথা,Talk
মনে,Fondly
কী,Key
যদি,If
এবং,And
হয়,Is
আপনার,Yours
নিয়ে,With
ছিল,Was
তাকে,Her
তারা,They
নেই,No
হয়ে,So
তাহলে,In
অনেক,Many
কেন,Why
করা,Do
হ্যাঁ,Yes
করো,Do
তাই,So
সব,All
এক,One
এর,Of
হচ্ছে,Beyond
যাও,In
কাজ,Work
হয়েছে,Have been
কে,Who
কাছে,Near
শুধু,Only
একটি,A
স্যার,Sir
দাও,Give
তাদের,Their
ভালো,Good
যা,Which
একজন,One
ভাল,Good
জানি,Know
যেতে,Go
দিয়ে,With
খুব,Very
কোথায়,Where
করবে,Willing
যাবে,Go
চাই,Desire
পারে,Unable
শেষ,End
করার,Do
ধন্যবাদ,Thank you
যখন,While
বলতে,To say
কেউ,None
করি,Doer
সময়,Time
তুই,You
গেছে,Gone
বাবা,Father
ওকে,OK
মত,Opinion
সেটা,That
হতে,To
চলে,Leaving
ওহ,Oh
নয়,Nine
হ্যা,Yes
একটু,A little
পারি,Pert
দেখতে,See
সবাই,Everyone
আগে,Before
দেখা,See
করছি,Doing
তিনি,He
বের,Out
বলে,Say
ঐ,3
কর,Tackle
আবার,Again
দিতে,Pay
নাম,Name
যায়,Go
ওর,Her
পারবে,Able
নাকি,Or
কিভাবে,How
মধ্যে,In
তোমরা,You
ফিরে,Back
আচ্ছা,Well
সাহায্য,Help
আপনাকে,You
মানুষ,Man
তা,So
মা,Mother
এ,This
করেছে,Did
দিকে,Toward
দরকার,Need
সেই,That
আসলে,In fact
শুরু,Start
ওটা,That
দুঃখিত,Sorry
দিন,Day
চলো,Go
মানে,Mean
কিন্ত,But
তোর,You
তোমাদের,You
করছে,Doing
বলছি,Guys
বিশ্বাস,Trust
বন্ধ,Closed
করেছি,Do
এমন,Such
অবশ্যই,In course
নিজের,Own
কারণ,Cause
বড়,Great
করবো,I will
বেশি,More
বছর,Year
উপর,Over
যাচ্ছে,Go
আসো,Come
চেষ্টা,Attempt
তারপর,After
হল,Hall
হয়,Is
হেই,Hey
এসব,These are
দেখো,See
কিছুই,Nothing
কোনো,Any
এটাই,It
আছি,There
টাকা,Money
যাচ্ছি,Going
জানো,Know
বুঝতে,Understanding
আজ,Today
ছিলো,Was
বলো,Say
মতো,Like
ধরে,On
কখনো,Ever
খারাপ,Bad
কেমন,How
প্লিজ,Plz
মারা,Kill
পছন্দ,Choice
সেখানে,There
চাও,Want
নাও,No
সমস্যা,Problem
দেখে,Seeing
নি,No
পর,After
থাকে,Stay
এখনো,Yet
সুন্দর,Beautiful
তখন,Then
ভুল,Wrong
ভাই,Brother
ওখানে,There
পর্যন্ত,Up to
করব,Do
নতুন,New
পরে,After
থাকতে,In place
ওরা,Them
যাই,Go
অন্য,Another
হলো,Is
খুঁজে,Find
ভয়,Fear
ব্যাপারে,In respect of
ছেড়ে,Leaving
আরো,More
নিতে,To take
থাকবে,Remain
করুন,Do
লোক,Man
আরে,Hey
ফোন,Phone
বন্ধু,Friend
হাত,Hand
লাগবে,Need
এসো,Essay
ওই,That
যেন,Like
সত্যি,True
জীবন,Life
বল,Force
চিন্তা,Thought
সম্পর্কে,About
ছেলে,Son
এত,So much
যেটা,That
সামনে,In front
জিনিস,Thing
খুবই,Very
পারবো,I can
এটি,It
হ্যালো,Hello
ছিলাম,Was
অপেক্ষা,Waiting
করবেন,Do
সবকিছু,Everything
উচিত,Should
ব্যাপার,Matter
নিচে,Down
থাকো,Stay
পারো,Can
নিশ্চিত,Guaranteed
হলে,In
এসেছে,Arrived
বা,Or
প্রথম,First
এখান,Here
জলদি,Frank
কত,How much
জানতে,Know
মেয়ে,Girl
আসবে,Come
হও,Be
এসে,At this time
করছ,Doing
এরকম,Like
ওদের,Them
দুই,Two
দেখ,View
তৈরি,Developed
জন,Man
পারেন,Can
ছাড়া,Except
হাতে,In hand
সবচেয়ে,Most
হয়তো,Maybe
আসছে,Coming
একদম,At all
নাই,No
লাগছে,Look
যাক,Asymmetry
মেরে,Beating
সত্যিই,Truly
বাইরে,Outside
বেশ,Quarrel
আসতে,Come
গুলি,Firing
বলা,Tell
এটার,It
এসেছি,Come
পড়ে,Fall
পুরো,Full
যান,Go
এগুলো,These
ছোট,Small
দিয়েছে,Give
আমিও,Me too
সবসময়,Always
চল,Go
পেয়েছি,Received
মিনিট,Minute
চায়,Desired
মজা,Fun
আশা,Hope
গিয়ে,On
বলেছে,Said
তোকে,You
যেখানে,Where
এবার,This time
আরও,More
থামো,Stop
পুলিশ,Policeman
কাউকে,Some
যাবো,Leaving
হোক,Anyway
নিজেকে,Himself
পারব,Can
যারা,Who
শুনতে,Listen
মানুষের,Man
জায়গা,Place
তাড়াতাড়ি,Quickly
কীভাবে,How
বসে,Sit
ফেলে,Out
দয়া,Kindness
জানে,Know
উপরে,Above
মাথা,Head
বাড়ি,House
দেখি,See
খুন,Murder
আসে,Out
সঙ্গে,With
মাত্র,Only
অথবা,Or
আসছি,Come
করলে,Do
মাঝে,Between
দিচ্ছি,Give
আপনাদের,Yours
রাতে,Night
গাড়ি,Car
হয়েছিল,Was
চুপ,Quiet
ভুলে,Forgotten
দাঁড়াও,Stand
ব্যবহার,Use
আছো,Oh
অবস্থা,Condition
উচিৎ,Should
এখনও,Still
মিস,Miss
করেন,Do
করছো,Doing
যাব,Leaving
সবাইকে,All
তবে,But
এটাকে,It
সবার,Everyone
পেতে,Get
বাচ্চা,Baby
বেঁচে,Alive
হিসেবে,As
পারছি,Can
প্রয়োজন,Need
একা,Lonely
যাওয়া,Go
উনি,He
চেয়ে,Than
তাঁর,Him
বলেছি,Stated
এভাবে,Thus
পাবে,Receiving
দেখেছি,See
দ্রুত,Fast
আয়,Income
প্রতি,Toward
ভিতরে,Inside
পাগল,Crazy
যাওয়ার,Go
কারন,Cause
আপনারা,You
দূরে,Far
দেয়,Pay
যুদ্ধ,War
যার,Whose
পাওয়া,Find
দিবে,Donation
নই,Niece
জানেন,Know
লাগে,Take
শান্ত,Quiet
শুভ,Auspicious
আসল,Real
একই,Same
করেছ,You have done
খবর,News
একবার,Once
মিঃ,Mr.
বাবার,Father
খুশি,Happy
বলবে,Say
আগেই,Before
পার,Weed
রাখো,Keep
গেল,On
চান,Desire
নিশ্চয়ই,Surely
সুযোগ,Privilege
কাজে,At work
গিয়েছে,Gone
আসলেই,In fact
সম্ভব,Possible
আছেন,There is
হয়নি,Did not
বলছে,Say
দেবে,Paid
বিয়ে,Marriage
যথেষ্ট,Enough
দরজা,Door
রেখে,On
এখানেই,Here
এমনকি,Even
পথ,Path
হওয়ার,Be
কিনা,Or not
তিন,Three
জানিনা,Know
চোখ,Eye
ভেতরে,Inside
যাতে,In order
কোথাও,Somewhere
প্রশ্ন,Question
রাখতে,Keep
উত্তর,Answer
এদিকে,In the meantime
ভাবে,By way
জায়গায়,In place
ব্যাপারটা,Thing
প্রস্তুত,Prepared
আমাদেরকে,Us
you,yo
করছেন,Doing
দেখছি,See
চমৎকার,Lap
সোনা,Gold
খাবার,Food
বলার,Say
দেয়া,Give
হাই,Hi
আছ,Are
করেছিলাম,Did
হুম,Ham
রয়েছে,Remain
দে,Dew
আহ,Ah
ভেবেছিলাম,Thought
করেছেন,Made
পানি,Water
গেলে,In
বলি,Sacrifice
জ্যাক,Jack
কেবল,Only
শুধুমাত্র,Only
দেওয়া,Give
দেখুন,View
শব্দ,Word
ক্ষমা,Pardon
নষ্ট,Ruined
হত্যা,Killing
একসাথে,Together
সম্ভবত,Perhaps
the,the
সহজ,Simple
ক্যাপ্টেন,Captain
রাস্তা,Road
বলুন,Say
বলেছিলাম,Said
প্রায়,Almost
আমায়,Me
রক্ষা,Protection
বাকি,Rest
দিয়েছি,Gave
কাছ,Close
কারো,Some
তুমিই,You
কঠিন,Hard
কল,Call
বস,Camouflage
গেলো,Gone
নাম্বার,Number
খোদা,God
রাজা,King
এতো,So
ধ্বংস,Destruction
কেনো,Why
জীবনের,Life
থাকার,Stay
সত্য,True
কষ্ট,Suffering
পিছনে,Back
ধরো,Hold on
মন,Mind
শোন,Listen
আমিই,Me
মুখ,Face
এখনই,Right now
মিথ্যা,False
চুরি,Theft
একে,One
যেমন,As
থাক,Stay
সেটাই,That
ঈশ্বর,God
আঘাত,Injury
একমাত্র,Only
কখনোই,Ever
আসুন,In the world
পাচ্ছি,Get
কম,Low
থাকা,Be
জানতাম,Knew
কার,Carrier
রাখা,Keep
জান,Know
দিব,Lamp
কখনও,Ever
হাজার,Thousand
গেছি,Go
হ্যারি,Harry
আসার,Come
জিজ্ঞেস,Inquiry
করেছো,Done
শক্তি,Power
সিদ্ধান্ত,Decision
খেলা,Play
বেশী,More
সরে,Out
পরিষ্কার,Clear
করলাম,Do
নিরাপদ,Secure
খেতে,Eat
ছিলে,Was
দেবো,God
বাদ,Exclusion
বলবো,I will say
ছবি,Picture
পেছনে,Back
মহান,Great
এতে,So
পেয়ে,Receiving
কাজের,Work
বললে,Say
সকল,All
করেছিল,Performed
কিসের,What
দেরি,Late
আসা,Come
বিদায়,Departure
জানা,Know
তাইনা,So
বাসায়,At home
থাকলে,If
থেকেই,In
হওয়া,Be
অস্ত্র,Weapon
শালা,Mango
পারবেন,Available
স্বাগতম,Welcome
আরেকটা,Another
ওহ্,Oh
কারণে,Because
তাদেরকে,By them
খুজে,Find
নামে,In the name of
খুলে,Open
দাড়াও,Shake
ইচ্ছা,Desire
সঠিক,Right
চাচ্ছি,Want
তোমায়,You
ঘরে,House
পরিবার,Family
পা,Foot
জন্যে,For
মিস্টার,Mr.
পৃথিবীর,Earth
মাফ,Forgiveness
বলছ,Say
মৃত্যুর,Death
দ্বারা,By
চেক,Check
নিজে,By one's own
দেই,Dei
ধরনের,Kind
হারিয়ে,Lost
বিশেষ,Special
আজকে,Today
বাড়িতে,In the house
কাল,Time
ফিরিয়ে,Back
কখন,When
ডাক্তার,Doctor
হয়েছে,Have been
বার,Time
প্রথমে,First
নিজেই,In one's own
রক্ত,Blood
ওপর,On
আস্তে,Slowly
ছিলেন,Was
গল্প,Story
গত,Past
মাথায়,At the head
একদিন,One day
দেব,God
আগের,Before
দারুণ,Great
যাচ্ছ,Going
উপায়,Way
শুনেছি,Heard
স্বপ্ন,Dream
ধরতে,To catch
সময়,Time
দল,Group
সকাল,In the morning
ভালোই,Well
স্ত্রী,Wife
খালি,Empty
খেয়ে,Consumed
বছরের,Year
লড়াই,Fight
বিষয়,Subject
অদ্ভুত,Strange
ছোট্ট,Small
ক্ষমতা,Power
করিনি,Did not do
বলব,To say
পাই,Pile
পান,Drink
গান,Song
বলেন,Said
গুরুত্বপূর্ণ,Important
অংশ,Part
আলাদা,Different
উঠে,Up
শোনো,Listen
মারতে,Beating
যদিও,But
মৃত,Dead
প্রমাণ,Proof
লাভ,Profit
পাশে,Side
বাজে,Bad
পথে,On the way
ফেলবে,Lap
কেটে,Cut
ধারণা,Concept
জন্যই,For
মায়ের,Mother
সাহস,Braveness
তুমিও,You too
ধীরে,Slowly
শক্তিশালী,Powerful
পায়,Get
তাঁকে,Him
তথ্য,Information
এসেছ,Have come
পেরেছি,Got
মুক্ত,Free
তাকাও,Look
দিলে,Give
তাতে,So
নিজেদের,Themselves
দোস্ত,Friend
এরা,These
শুনে,Hearing
জিজ্ঞাসা,Inquiry
দারুন,Well
চালু,Opened
আনতে,Bring
গোপন,Secret
দোষ,Guilt
হয়ত,Maybe
পরিবর্তন,Change
বিরুদ্ধে,Against
রাত,Night
অনুভব,Feeling
তুলে,Raw
ঠিকই,Right away
গিয়েছিল,Had gone
অন্তত,At least
পেয়েছে,Received
পাওয়ার,Power
বলেছেন,Says
পরীক্ষা,Examination
হবেনা,Or if
চাইলে,In wanting
বাচ্চাদের,Kid
পরিবারের,Family
পারবেনা,Can
যত,As much
অসম্ভব,Impossible
বসো,Sit down
সেরা,Best
বদলে,Instead
প্রিয়,Beloved
এইতো,Right now
করত,He did
ব্যবস্থা,Arrangement
মাস,Month
মহিলা,Woman
কোথায়,Where
জীবনে,Life
হতো,Were
মেয়ের,Girl
তেমন,So
টাকার,Money
সামান্য,Little
চলছে,Running
কিছুটা,Somewhat
লুকিয়ে,Hiding
অসাধারণ,Extraordinary
মৃত্যু,Death
এখনি,Right now
ধরা,Catch
দিনের,Day
কালো,Black
বোকা,Dumb
ভেবে,Thoughtfully
করেনি,Did
প্রফেসর,Professor
ফেরত,Refund
অনুমতি,Permission
চিৎকার,Screaming
সকালে,In the morning
ডলার,Dollar
করছিলাম,Was doing
সোজা,Straight
খেয়াল,Nod
লেগেছে,Like
কোনও,Any
জীবিত,Alive
বন্দুক,Gun
বলছেন,Say
অধিকার,Right
কয়েক,Few
বিক্রি,Selling
নিন,Take
বললাম,Said
লেখা,Write
দিচ্ছে,Giving
পৃথিবী,Earth
হলাম,Be
আসি,Asi
সাবধানে,Carefully
দেখার,Seeing
রাখবে,Keep
করতাম,Used
বলেছিল,Said
বয়স,Age
সন্দেহ,Doubt
বাহিরে,Out
সময়ে,At the time
বলছো,Saying
দিও,Give
সাধারণ,Common
জাহাজ,Ship
থাম,Sting
গুলো,Gourmet
ঘটনা,Event
করেই,By
ইয়াহ,Yah
মজার,Gorgeous
ফেলো,Felt
চার,Four
প্রয়োজন,Need
বলেছ,Said
বলেছিলে,Said
করলো,See
সেকেন্ড,Second
এইটা,This
দিলাম,Give
কাজটা,Work
ভালই,Well
চেহারা,Appearance
থাকি,Stay
তাঁরা,They
সারা,Full
ডঃ,Dr.
পেলে,Pelvis
এইসব,These
পাবেন,Receiving
জনাব,Man
সাবধান,Careful
মাধ্যমে,Through
জর্জ,Pomegranate
পাঁচ,Five
মেয়েকে,Girl
চিনি,Sugar
ধর,Hold
সপ্তাহ,Week
দেখলে,Seeing
স্কুলে,At school
চোখে,Eye
পারিনি,Could not
বাবাকে,Father
পুরনো,Old
পরিকল্পনা,Plan
পরের,Next
যাকে,Whom
চেয়েও,More
মার,Beating
ভালোবাসি,Love
বোন,Sister
বন্ধুরা,Friend
মরে,Death
হয়েছি,Have become
গেলাম,Go
ফেলেছি,Left
ভেঙ্গে,Break
এগিয়ে,Forward
লোকদের,People
সম্মান,Honor
হায়,Alas
কোথাকার,Where
শহর,City
প্রধান,Prime
গিয়েছিলাম,Walked
নও,No
ভালবাসি,Loving
জি,G
ভাগ্য,Fortune
হয়েছিলো,Was
চোখের,Eye
ঝামেলা,Disturbance
অবস্থায়,Under
ঘৃণা,Hate
পালিয়ে,Escaped
বাস,Residence
মধ্যেই,In
শহরের,City
হবার,Cause
ভালোবাসা,Love
দূর,Out
দুটো,Two
ভাগ,Share
একেবারে,Absolutely
আটকে,Stuck
নয়,Nine
শহরে,In the city
সময়ের,Time
কাছাকাছি,Close
বুঝেছি,Understand
এরপর,After
দেবতা,Deity
আদেশ,Order
দিবো,Din
বই,Book
দেওয়ার,Give
বানিয়ে,By
থাকবো,Stay
ফেলেছে,Dropped
তোরা,You
এদের,Them
যোগাযোগ,Communication
ঘর,House
দেখাতে,In
আসবো,Come
প্ল্যান,Plan
গরম,Hot
হিসাবে,As
মতই,Like
ম্যাডাম,Madam
পারতাম,Could
দেখাও,Show
অনুসরণ,Follow
and,and
পারলে,Can
পরিচিত,Familiar
সমাধান,Solution
রুমে,In the room
কই,Where
ঘুরে,Turn
রকম,Kind
ঘন্টা,Hour
তাঁদের,Their
জোরে,Loudly
দায়িত্ব,Responsibility
দুজন,Both
বিরক্ত,Disturbed
রাখ,Keep
বেরিয়ে,Out
হয়তোবা,Maybe
পড়েছে,Fall
উনার,His
যেভাবে,That way
পরিচয়,Identity
ফেল,Fell
খোলা,Open
মাস্টার,Master
জন্ম,Birth
আগুন,Fire
দাঁড়িয়ে,Stand
ছেলের,Boy
সম্পর্ক,Relationship
রাজি,Agree
করতো,Used to do
মেনে,Compliant
নিরাপত্তা,Safety
মরতে,To die
মাই,Myth
হত,Wounded
নিউ,New
দেয়ার,Give
দিক,Direction
রাতের,Night
শান্তি,Peace
জেনে,Knowingly
চেয়েছিলাম,Wanted
সমস্ত,All
রেডি,Ready
থামাও,Stop
মানুষকে,Man
এজেন্ট,Agent
জিনিসটা,Thing
দেখাচ্ছে,Showing
বললো,Said
সাথেই,Immediately
গুড,Good
থাকব,Stay
পিটার,Peter
বলল,Said
ঘটেছে,Occurred
মিনিটের,Minute
আস,Come
ঘুম,Sleep
চাইনা,Not want
in,in
রুম,Room
দেখেছ,See
পড়তে,Read
ফেলতে,Toe
ক্ষতি,Disadvantage
প্রেসিডেন্ট,President
ওরে,Orah
গাছ,Tree
যাবার,Go
গ্রহণ,Adoption
বাঁচাতে,To save
রেখো,Read
শক্ত,Hard
লোকটা,Man
দেখলাম,See
কিচ্ছু,Something
অামি,Apma
নিয়েছে,Taken
পৃথিবীতে,In the world
এসেছেন,Have come
করিয়ে,On
চুক্তি,Agreement
অর্থ,Money
ধুর,Smoke
মুখে,In the face of
শীঘ্রই,Soon
লক্ষ্য,Goal
যতক্ষণ,As long as
কবে,When
সম্পূর্ণ,Complete
করেছিলে,By
বরং,Rather than
এভাবেই,Thus
কাহিনী,Story
ভেতর,Inner
সেগুলো,Them
চলবে,On
আজকের,Today
মেয়েটা,Girl
বিষয়ে,On
লোকজন,People
দাম,Price
কেউই,None
সতর্ক,Careful
আগামীকাল,Tomorrow
শরীর,Body
তৈরী,Made
লাগলো,Looked
পাচ্ছ,Lap
মনোযোগ,Focus
লোকেরা,People
হয়না,Or not
স্কুল,School
গাড়িতে,In the car
যেই,Whatever
রাস্তায়,On the road
আইন,Law